; 63/64; 64/65; 65/66; 66/67; 67/68; 68/69; 69/70; 70/71; 71/72; 72/73; 73/74; 74/75; 75/76; 76/77; 77/78; 78/79; 79/80; 80/81; 81/82; 82/83; 83/84; 84/85; 85/86; 86/87; 87/88; 88/89; 89/90; 90/91; 91/92; 92/93; 93/94; 94/95; 95/96; 96/97; 97/98; 98/99; 99/00; 00/01; 01/02; 02/03; 03/04; 04/05; 05/06; 06/07; 07/08; 08/09; 09/10; 10/11; 11/12; 12/13; 13/14; 14/15; 15/16; 16/17; 17/18; 18/19
1. FC Kaiserslautern ;48;89;131;174;213;258;302;356;415;473;553;609;675;728;792;867;929;989;1059;1116;1184;1240;1289;1353;1406;1453;1495;1567;1625;1675;1739;1797;1828;1828;1891;1942;1996;2045;2107;2147;2186;2229;2276;2276;2276;2276;2276;2324;2348;2348;2348;2348;2348;2348;2348;2348
1. FC Köln ;78;144;218;266;334;381;464;510;574;640;709;786;848;931;1017;1072;1144;1198;1270;1339;1409;1478;1524;1574;1631;1689;1743;1793;1851;1892;1941;1995;2028;2090;2139;2139;2139;2198;2224;2224;2256;2256;2305;2305;2305;2340;2373;2420;2459;2459;2459;2493;2531;2582;2617;2617
1. FC Nürnberg ;45;89;143;186;257;302;302;302;302;302;302;302;302;302;302;338;338;385;438;482;520;520;571;633;677;713;755;795;849;879;920;920;920;920;920;960;960;994;1027;1027;1027;1082;1131;1174;1209;1209;1241;1288;1326;1365;1402;1402;1402;1402;1402;1428
1. FC Saarbrücken ;44;44;44;44;44;44;44;44;44;44;44;44;44;87;126;126;126;126;126;126;126;126;165;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202
1. FSV Mainz 05 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;96;130;130;130;166;218;265;307;359;404;450;494;532;578
1860 München ;66;136;216;276;331;375;416;416;416;416;416;416;416;416;457;499;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;589;641;697;740;789;844;887;946;990;1022;1022;1022;1022;1022;1022;1022;1022;1022;1022;1022;1022;1022;1022;1022;1022
1899 Hoffenheim ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;107;157;198;240;312;361;400;464;530;600
Alemannia Aachen ;0;0;0;0;52;109;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;186;186;186;186;186;186;186;186;186;186;186;186;186
Arminia Bielefeld ;0;0;0;0;0;0;0;34;34;34;34;34;34;34;34;77;77;123;169;215;255;301;301;301;301;301;301;301;301;301;301;301;301;347;390;390;430;430;430;465;465;502;534;581;616;645;645;645;645;645;645;645;645;645;645;645
Bayer 04 Leverkusen ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;97;142;185;235;287;350;406;459;504;544;591;644;708;768;830;867;936;1002;1063;1137;1191;1268;1315;1388;1453;1517;1571;1628;1687;1752;1816;1868;1933;1993;2055;2111;2164;2222;2291
Bayer Uerdingen ;0;0;0;0;0;0;0;0;0;0;0;0;28;28;28;28;71;118;118;118;184;241;304;355;414;464;505;539;539;574;574;611;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644;644
